"date";"price_brl"
"2025-11-15";"1210.71"
"2025-11-15";"1317.75"
"2025-11-15";"1406.13"
"2025-11-15";"1442.46"
"2025-11-15";"1549.50"
"2025-11-15";"1637.88"
"2025-11-15";"1920.70"
"2025-11-15";"2027.74"
"2025-11-15";"2135.76"
"2025-11-15";"2151.55"
"2025-11-15";"2628.72"
"2025-11-15";"2740.35"
"2025-11-15";"2751.47"
"2025-11-15";"2879.13"
"2025-11-15";"2894.25"
"2025-11-15";"2996.90"
"2025-11-15";"3071.54"
"2025-11-15";"3090.55"
"2025-11-15";"3142.09"
"2025-11-15";"3244.04"
"2025-11-15";"3389.89"
"2025-11-15";"3436.01"
"2025-11-15";"3499.00"
"2025-11-15";"3504.75"
"2025-11-15";"3524.39"
"2025-11-15";"3570.69"
"2025-11-15";"3608.34"

"2025-11-16";"1442.46"
"2025-11-16";"1549.50"
"2025-11-16";"1637.88"
"2025-11-16";"1920.70"
"2025-11-16";"2027.74"
"2025-11-16";"2135.76"
"2025-11-16";"2151.55"
"2025-11-16";"2229.05"
"2025-11-16";"2351.80"
"2025-11-16";"2459.82"
"2025-11-16";"2628.72"
"2025-11-16";"2751.47"
"2025-11-16";"2879.13"
"2025-11-16";"2996.90"
"2025-11-16";"3090.55"
"2025-11-16";"3142.09"
"2025-11-16";"3151.91"
"2025-11-16";"3212.89"
"2025-11-16";"3239.89"
"2025-11-16";"3295.28"
"2025-11-16";"3384.25"
"2025-11-16";"3412.69"
"2025-11-16";"3436.01"
"2025-11-16";"3504.75"
"2025-11-16";"3524.39"
"2025-11-16";"3608.34"

"2025-11-17";"546.88"
"2025-11-17";"644.10"
"2025-11-17";"707.93"
"2025-11-17";"965.21"
"2025-11-17";"1062.43"
"2025-11-17";"1085.02"
"2025-11-17";"1140.99"
"2025-11-17";"1182.23"
"2025-11-17";"1210.71"
"2025-11-17";"1270.61"
"2025-11-17";"1317.75"
"2025-11-17";"1406.13"
"2025-11-17";"1442.46"
"2025-11-17";"1549.50"
"2025-11-17";"1637.88"
"2025-11-17";"1920.70"
"2025-11-17";"2027.74"
"2025-11-17";"2135.76"
"2025-11-17";"2151.55"
"2025-11-17";"2757.79"
"2025-11-17";"2854.55"
"2025-11-17";"2911.69"
"2025-11-17";"2996.90"
"2025-11-17";"3013.85"
"2025-11-17";"3090.55"
"2025-11-17";"3142.09"
"2025-11-17";"3185.89"
"2025-11-17";"3355.81"
"2025-11-17";"3436.01"
"2025-11-17";"3499.00"
"2025-11-17";"3504.75"
"2025-11-17";"3524.39"
"2025-11-17";"3608.34"

"2025-11-18";"2151.55"
"2025-11-18";"2224.12"
"2025-11-18";"2284.90"
"2025-11-18";"2287.18"
"2025-11-18";"2294.03"
"2025-11-18";"2379.37"
"2025-11-18";"2566.23"
"2025-11-18";"2568.79"
"2025-11-18";"2576.49"
"2025-11-18";"2790.46"
"2025-11-18";"2959.33"
"2025-11-18";"3090.55"
"2025-11-18";"3142.09"
"2025-11-18";"3235.59"
"2025-11-18";"3358.34"
"2025-11-18";"3436.01"
"2025-11-18";"3486.00"
"2025-11-18";"3499.00"
"2025-11-18";"3504.75"
"2025-11-18";"3524.39"
"2025-11-18";"3608.34"

"2025-11-19";"2151.55"
"2025-11-19";"2284.90"
"2025-11-19";"2566.23"
"2025-11-19";"2705.90"
"2025-11-19";"2790.46"
"2025-11-19";"2959.33"
"2025-11-19";"2996.90"
"2025-11-19";"3090.55"
"2025-11-19";"3142.09"
"2025-11-19";"3212.89"
"2025-11-19";"3235.59"
"2025-11-19";"3358.34"
"2025-11-19";"3384.25"
"2025-11-19";"3436.01"
